year,vat_threshold_lei,firms_in_window,excess_mass_b
2014,220000,83751,2.84
2015,220000,91256,4.21
2016,220000,97622,4.76
2017,220000,105826,5.39
2018,300000,102168,3.64
2019,300000,113716,5.09
2020,300000,111913,4.9
2021,300000,117918,5.78
2022,300000,135830,6.61
2023,300000,145471,6.62
2024,300000,157977,6.09
2025,300000,157676,0.79
