band,sib_new_bunchers,sib_new_just_above,addr_new_bunchers,addr_new_just_above,n_bunchers,n_just_above
0-2,6.971375807940905,5.465587044534413,26.13111726685134,20.51282051282051,2166,1482
3-5,3.2625786163522013,2.5728987993138936,18.199685534591197,16.50943396226415,2544,2332
6-10,2.484980884762425,2.117093570308416,13.681048607318406,11.52639832723471,3662,3826
11+,1.4954645746506496,1.2466869539609304,6.092179455748958,4.9572985177186615,8158,10187
