year,thr_prev_rate,thr_cur_rate,modal_bin_center,dist_to_prev,dist_to_cur
2018,4659700,4663900,4615000,-44700,-48900
2019,4663900,4779300,4655000,-8900,-124300
2020,4779300,4869400,4775000,-4300,-94400
2021,4869400,4948100,4865000,-4400,-83100
2022,4948100,4947400,4945000,-3100,-2400
