year,thr_prev,thr_cur,modal_1k_bin,firms_1k,median_1k,dist_1k_to_prev,modal_5k_bin,firms_5k,dist_5k_to_prev
2018,4659700,4663900,"4,638,000-4,639,000",16,7,-21200,"4,655,000-4,660,000",59,-2200
2019,4663900,4779300,"4,618,000-4,619,000",23,8,-45400,"4,660,000-4,665,000",73,-1400
2020,4779300,4869400,"4,775,000-4,776,000",29,8,-3800,"4,775,000-4,780,000",95,-1800
2021,4869400,4948100,"4,867,000-4,868,000",31,9,-1900,"4,865,000-4,870,000",105,-1900
2022,4948100,4947400,"4,943,000-4,944,000",26,11,-4600,"4,940,000-4,945,000",101,-5600
