year,0,1,2,3-4,5+,firms
2019,33.57,28.7,13.89,12.05,11.8,555050
2020,33.39,30.62,13.37,11.48,11.15,575855
2021,35.07,31.89,12.1,10.76,10.17,558724
2022,31.14,37.62,11.95,10.19,9.11,616503
2023,28.7,40.68,12.5,9.8,8.31,640536
2024,30.62,40.84,12.21,9.04,7.28,686605
2025,32.65,40.55,11.85,8.57,6.39,655235
